[2023-03-13 11:53:27,869] INFO in volume_of_traffic: Wait MongoDB Building
[2023-03-13 11:53:29,023] ERROR in volume_of_traffic: INIT > Unauthorized
[2023-03-13 11:53:29,030] ERROR in volume_of_traffic: INIT > Unauthorized
[2023-03-13 11:53:29,043] ERROR in volume_of_traffic: Tomorrow > Unauthorized
[2023-03-13 11:53:29,052] ERROR in volume_of_traffic: Tomorrow > Unauthorized
[2023-03-13 11:53:29,189] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-13 11:53:29,193] INFO in base: Added job "add_tomorrow_document" to job store "default"
[2023-03-13 11:53:29,194] INFO in base: Scheduler started
[2023-03-13 11:54:07,163] INFO in volume_of_traffic: Wait MongoDB Building
[2023-03-13 11:54:08,291] ERROR in volume_of_traffic: INIT > Unauthorized
[2023-03-13 11:54:08,296] ERROR in volume_of_traffic: INIT > Unauthorized
[2023-03-13 11:54:08,302] ERROR in volume_of_traffic: Tomorrow > Unauthorized
[2023-03-13 11:54:08,306] ERROR in volume_of_traffic: Tomorrow > Unauthorized
[2023-03-13 11:54:08,444] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-13 11:54:08,448] INFO in base: Added job "add_tomorrow_document" to job store "default"
[2023-03-13 11:54:08,449] INFO in base: Scheduler started
[2023-03-13 11:56:19,486] INFO in volume_of_traffic: Wait MongoDB Building
[2023-03-13 11:56:20,756] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-13 11:56:20,762] INFO in base: Added job "add_tomorrow_document" to job store "default"
[2023-03-13 11:56:20,764] INFO in base: Scheduler started
[2023-03-13 11:56:48,589] INFO in volume_of_traffic: Wait MongoDB Building
[2023-03-13 11:56:49,696] ERROR in volume_of_traffic: INIT > Unauthorized
[2023-03-13 11:56:49,701] ERROR in volume_of_traffic: INIT > Unauthorized
[2023-03-13 11:56:49,710] ERROR in volume_of_traffic: Tomorrow > Unauthorized
[2023-03-13 11:56:49,714] ERROR in volume_of_traffic: Tomorrow > Unauthorized
[2023-03-13 11:56:49,860] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-13 11:56:49,864] INFO in base: Added job "add_tomorrow_document" to job store "default"
[2023-03-13 11:56:49,865] INFO in base: Scheduler started
[2023-03-13 11:57:08,767] INFO in volume_of_traffic: Wait MongoDB Building
[2023-03-13 11:57:09,854] ERROR in volume_of_traffic: INIT > Unauthorized
[2023-03-13 11:57:09,859] ERROR in volume_of_traffic: Tomorrow > Unauthorized
[2023-03-13 11:57:10,006] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-13 11:57:10,010] INFO in base: Added job "add_tomorrow_document" to job store "default"
[2023-03-13 11:57:10,011] INFO in base: Scheduler started
[2023-03-14 11:21:14,148] INFO in volume_of_traffic: Wait MongoDB Building
[2023-03-14 11:21:15,732] ERROR in volume_of_traffic: Tomorrow > Backup fail > Local DB disconnent
[2023-03-14 11:21:16,234] ERROR in volume_of_traffic: INIT > Local DB disconnect
[2023-03-14 11:21:17,238] WARNING in volume_of_traffic: Server Check > Retry connect server db > 1
[2023-03-14 11:21:17,749] WARNING in volume_of_traffic: Server Check > Retry connect server db > 2
[2023-03-14 11:21:18,259] WARNING in volume_of_traffic: Server Check > Retry connect server db > 3
[2023-03-14 11:21:19,281] ERROR in volume_of_traffic: Server Check > Retry connect server db > 3
[2023-03-14 11:21:19,284] ERROR in volume_of_traffic: INIT > Server DB disconnect
[2023-03-14 11:21:19,766] ERROR in volume_of_traffic: INIT > Local DB disconnect
[2023-03-14 11:21:20,784] WARNING in volume_of_traffic: Server Check > Retry connect server db > 1
[2023-03-14 11:21:21,299] WARNING in volume_of_traffic: Server Check > Retry connect server db > 2
[2023-03-14 11:21:21,809] WARNING in volume_of_traffic: Server Check > Retry connect server db > 3
[2023-03-14 11:21:22,838] ERROR in volume_of_traffic: Server Check > Retry connect server db > 3
[2023-03-14 11:21:22,839] ERROR in volume_of_traffic: INIT > Server DB disconnect
[2023-03-14 11:21:23,351] ERROR in volume_of_traffic: Tomorrow > Local DB disconnect
[2023-03-14 11:21:24,377] WARNING in volume_of_traffic: Server Check > Retry connect server db > 1
